,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
5673,9574,01:01:19.748,11,+1.622,+0.762,,,,,,,,,,,,,,,,,,
5679,9574,01:01:20.304,11,,,,,,,,,,,,,,,,,,,,
5713,9574,01:01:23.090,11,,,,,,,,,,,,,,,,,,,,
5723,9574,01:01:23.321,11,+1.631,+0.846,,,,,,,,,,,,,,,,,,
5724,9574,01:01:23.359,11,,,,,,,,,,,,,,,,,,,,
5768,9574,01:01:27.716,11,,,,,,,,,,,,,,,,,,,,
5769,9574,01:01:27.755,11,+1.722,+0.776,,,,,,,,,,,,,,,,,,
5812,9574,01:01:31.193,11,+1.814,+0.851,,,,,,,,,,,,,,,,,,
5814,9574,01:01:31.228,11,,,,,,,,,,,,,,,,,,,,
5846,9574,01:01:35.046,11,+1.675,+0.879,,,,,,,,,,,,,,,,,,
5880,9574,01:01:39.357,11,,,,,,,,,,,,,,,,,,,,
5881,9574,01:01:39.427,11,+1.813,+0.872,,,,,,,,,,,,,,,,,,
5919,9574,01:01:43.434,11,+1.935,+0.976,,,,,,,,,,,,,,,,,,
5920,9574,01:01:43.451,11,,,,,,,,,,,,,,,,,,,,
5956,9574,01:01:47.733,11,,,,,,,,,,,,,,,,,,,,
5957,9574,01:01:47.779,11,+1.894,,,,,,,,,,,,,,,,,,,
5990,9574,01:01:51.561,11,,,,,,,,,,,,,,,,,,,,
5991,9574,01:01:51.613,11,+1.843,+1.084,,,,,,,,,,,,,,,,,,
6024,9574,01:01:55.307,11,,,,,,,,,,,,,,,,,,,,
6059,9574,01:01:59.989,11,+1.831,+1.045,,,,,,,,,,,,,,,,,,
6060,9574,01:02:00.033,11,,,,,,,,,,,,,,,,,,,,
6099,9574,01:02:04.430,11,,,,,,,,,,,,,,,,,,,,
6100,9574,01:02:04.455,11,+1.919,+1.008,,,,,,,,,,,,,,,,,,
6134,9574,01:02:08.577,11,+2.023,+1.004,,,,,,,,,,,,,,,,,,
6137,9574,01:02:09.003,11,,,,,,,,,,,,,,,,,,,,
6138,9574,01:02:09.175,11,,,,,,,,,,,,,,,,,,,,
