,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
4902,9574,00:59:56.563,1,+4.637,+0.330,,,,,,,,,,,,,,,,,,
4903,9574,00:59:56.586,1,,,,,,,,,,,,,,,,,,,,
4940,9574,01:00:00.934,1,+4.648,+0.361,,,,,,,,,,,,,,,,,,
4941,9574,01:00:00.981,1,,,,,,,,,,,,,,,,,,,,
4973,9574,01:00:04.954,1,,,,,,,,,,,,,,,,,,,,
4974,9574,01:00:04.978,1,+4.902,+0.543,,,,,,,,,,,,,,,,,,
5008,9574,01:00:08.738,1,,,,,,,,,,,,,,,,,,,,
5009,9574,01:00:08.772,1,+4.918,+0.588,,,,,,,,,,,,,,,,,,
5048,9574,01:00:13.427,1,+5.015,+0.525,,,,,,,,,,,,,,,,,,
5049,9574,01:00:13.469,1,,,,,,,,,,,,,,,,,,,,
5083,9574,01:00:17.985,1,+5.242,+0.611,,,,,,,,,,,,,,,,,,
5084,9574,01:00:18.024,1,,,,,,,,,,,,,,,,,,,,
5121,9574,01:00:22.232,1,+5.422,+0.713,,,,,,,,,,,,,,,,,,
5125,9574,01:00:22.840,1,,,,,,,,,,,,,,,,,,,,
5178,9574,01:00:28.036,1,,,,,,,,,,,,,,,,,,,,
5179,9574,01:00:28.063,1,+5.476,+0.792,,,,,,,,,,,,,,,,,,
5203,9574,01:00:30.530,1,,,,,,,,,,,,,,,,,,,,
5204,9574,01:00:30.547,1,+5.457,+0.813,,,,,,,,,,,,,,,,,,
5240,9574,01:00:33.601,1,+5.407,+0.840,,,,,,,,,,,,,,,,,,
5241,9574,01:00:33.651,1,,,,,,,,,,,,,,,,,,,,
5279,9574,01:00:37.453,1,+5.313,+0.880,,,,,,,,,,,,,,,,,,
5311,9574,01:00:41.281,1,,,,,,,,,,,,,,,,,,,,
5355,9574,01:00:46.810,1,,,,,,,,,,,,,,,,False,,,,
5362,9574,01:00:47.330,1,+5.369,+0.838,,,,,,,,,,,,,,,,,,
5363,9574,01:00:47.374,1,,,,,,,,,,,,,,,,,,,,
5401,9574,01:00:52.146,1,+5.494,+0.790,,,,,,,,,,,,,,,,,,
5405,9574,01:00:52.197,1,,,,,,,,,,,,,,,,,,,,
5406,9574,01:00:52.281,1,,,,,,,,,,,,,,1:50.141,,,False,3.0,,
5412,9574,01:00:53.073,1,,,,,,,,,,,,,,,,,,,,
5445,9574,01:00:56.504,1,+5.338,+0.746,,,,,,,,,,,,,,,,,,
5446,9574,01:00:56.538,1,,,,,,,,,,,,,,,,,,,,
5505,9574,01:01:02.663,1,+5.400,+0.654,,,,,,,,,,,,,,,,,,
5533,9574,01:01:06.948,1,+5.381,+0.626,,,,,,,,,,,,,,,,,,
5536,9574,01:01:06.999,1,,,,,,,,,,,,,,,,,,,,
5565,9574,01:01:10.210,1,+5.333,+0.635,,,,,,,,,,,,,,,,,,
5566,9574,01:01:10.235,1,,,,,,,,,,,,,,,,,,,,
5590,9574,01:01:12.588,1,+5.344,+0.691,,,,,,,,,,,,,,,,,,
5591,9574,01:01:12.639,1,,,,,,,,,,,,,,,,,,,,
5597,9574,01:01:13.010,1,,,,,,,,,,,,,,,,,,,,
5631,9574,01:01:16.002,1,+5.301,+0.731,,,,,,,,,,,,,,,,,,
5632,9574,01:01:16.047,1,,,,,,,,,,,,,,,,,,,,
5662,9574,01:01:18.976,1,,,,,,,,,,,,,,,,,,,,
5664,9574,01:01:19.013,1,+5.180,+0.735,,,,,,,,,,,,,,,,,,
5711,9574,01:01:22.964,1,+4.795,+0.677,,,,,,,,,,,,,,,,,,
5721,9574,01:01:23.189,1,,,,,,,,,,,,,,,,,,,,
5722,9574,01:01:23.320,1,,,,,,,,,,,,,,,,,,,,
5754,9574,01:01:26.396,1,,,,,,,,,,,,,,,,,,,,
5755,9574,01:01:26.406,1,+4.732,+0.684,,,,,,,,,,,,,,,,,,
5776,9574,01:01:28.134,1,,,,,,,,,,,,,,,,,,,,
5808,9574,01:01:30.881,1,+4.862,+0.546,,,,,,,,,,,,,,,,,,
5809,9574,01:01:30.927,1,,,,,,,,,,,,,,,,,,,,
5840,9574,01:01:34.300,1,+4.919,+0.501,,,,,,,,,,,,,,,,,,
5841,9574,01:01:34.324,1,,,,,,,,,,,,,,,,,,,,
5872,9574,01:01:38.257,1,+4.893,+0.455,,,,,,,,,,,,,,,,,,
5873,9574,01:01:38.272,1,,,,,,,,,,,,,,,,,,,,
5913,9574,01:01:42.711,1,+5.079,+0.483,,,,,,,,,,,,,,,,,,
